iter	Passed	Remaining
0	727	726689
1	728	363482
2	729	242355
3	730	181794
4	730	145451
5	731	121238
6	733	103992
7	734	91033
8	734	80928
9	737	72981
10	738	66356
11	738	60834
12	739	56166
13	740	52164
14	741	48689
15	742	45664
16	743	42996
17	744	40632
18	746	38521
19	747	36646
20	748	34907
21	750	33362
22	751	31916
23	752	30592
24	753	29372
25	754	28248
26	755	27216
27	756	26261
28	757	25358
29	758	24527
30	759	23746
31	761	23035
32	762	22340
33	763	21687
34	764	21068
35	765	20491
36	767	19984
37	768	19462
38	769	18965
39	770	18497
40	772	18074
41	773	17645
42	774	17235
43	775	16849
44	776	16479
45	778	16143
46	779	15801
47	780	15474
48	781	15161
49	783	14881
50	784	14593
51	785	14312
52	785	14043
53	786	13784
54	789	13560
55	790	13320
56	791	13087
57	792	12865
58	794	12666
59	795	12455
60	795	12249
61	796	12052
62	797	11864
63	798	11685
64	800	11517
65	801	11344
66	802	11175
67	803	11007
68	804	10855
69	805	10700
70	806	10550
71	807	10404
72	808	10262
73	809	10125
74	811	10003
75	812	9873
76	812	9744
77	813	9619
78	814	9498
79	816	9385
80	817	9270
81	817	9155
82	818	9044
83	819	8936
84	819	8826
85	820	8723
86	821	8622
87	822	8524
88	823	8428
89	824	8333
90	825	8242
91	826	8156
92	827	8069
93	828	7981
94	828	7896
95	829	7813
96	830	7732
97	831	7654
98	833	7586
99	834	7511
100	835	7437
101	836	7360
102	837	7289
103	839	7230
104	840	7161
105	841	7094
106	841	7026
107	842	6960
108	843	6896
109	846	6846
110	847	6783
111	847	6722
112	848	6663
113	849	6604
114	851	6552
115	852	6494
116	852	6437
117	853	6381
118	854	6325
119	855	6271
120	856	6224
121	857	6172
122	858	6118
123	858	6067
124	859	6018
125	861	5973
126	862	5928
127	862	5878
128	863	5832
129	864	5786
130	865	5741
131	866	5696
132	868	5661
133	869	5618
134	870	5577
135	871	5535
136	873	5504
137	874	5463
138	875	5423
139	876	5383
140	877	5345
141	878	5307
142	880	5274
143	881	5237
144	882	5202
145	883	5166
146	884	5135
147	885	5100
